test,cluster genes,cluster gene ids,variable factors,gsea pval,bootstrapping pval,ora pval
cluster_22_UP - condition/healthy,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,0.78,0.763550656
cluster_22_UP - condition/pah,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,0.109,0.108866227
cluster_22_UP - condition/ph-lung,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,3,-,0.963,0.958393495
cluster_22_UP - gender/F,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,2,-,0.691,0.687748627
cluster_22_UP - gender/M,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,2,-,0.592,0.589015169
cluster_22_UP - age,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.814324883,0.145,
cluster_22_UP - height,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.358,
cluster_22_UP - weight,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.83,
cluster_22_UP - BNP,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.876197505,0.392,
cluster_22_UP - NYHA,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.946,
cluster_22_UP - heart rate,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.994873459,0.571,
cluster_22_UP - mPAP,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.966886253,0.774,
cluster_22_UP - PAWP,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.522,
cluster_22_UP - CVP,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.955,
cluster_22_UP - HZV_Fick,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.972836725,0.759,
cluster_22_UP - HZV_Thermodil,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.828,
cluster_22_UP - PVR,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.22,
cluster_22_UP - Cardiac Index,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.990392031,0.427,
cluster_22_UP - Rrsys,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.859532465,0.621,
cluster_22_UP - PA_systolic,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.931,
cluster_22_UP - PA_diastolic,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.486,
cluster_22_UP - ven_SO2,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.989156203,0.383,
cluster_22_UP - AVDO2,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.357,
cluster_22_UP - TAPSE,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.911638495,0.623,
cluster_22_UP - RVEDD,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.462,
cluster_22_UP - S,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.950137077,0.716,
cluster_22_UP - sPAP excl. ZVD,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.482,
cluster_22_UP - ZVD,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.987379209,0.572,
cluster_22_UP - VCI_diameter,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.921994131,0.574,
cluster_22_UP - RA_area,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.937286826,0.447,
cluster_22_UP - AT,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.318,
cluster_22_UP - AT_ET,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.369,
cluster_22_UP - Paradoxe_Septumbewegung,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.276,
cluster_22_UP - Perikarderguss,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.961856361,1,
cluster_22_UP - SMW,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.582,
cluster_22_UP - FEV1,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.712,
cluster_22_UP - Tiffeneau Index FEV1/VC,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.970512256,0.914,
cluster_22_UP - DLCO,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.860505636,0.602,
cluster_22_UP - Kreatinin,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,1,0.185,
cluster_22_UP - eGFR,3,ENSG00000041515|MYO16 ENSG00000144712|CAND2 ENSG00000170486|KRT72,NA,0.787811488,0.122,
cluster_23_UP - condition/healthy,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,0.39,0.375999048
cluster_23_UP - condition/pah,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,0.381,0.378359513
cluster_23_UP - condition/ph-lung,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,3,-,0.929,0.929476416
cluster_23_UP - gender/F,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,2,-,0.355,0.345993658
cluster_23_UP - gender/M,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,2,-,0.826,0.835255126
cluster_23_UP - age,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.65038688,0.005,
cluster_23_UP - height,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.103,
cluster_23_UP - weight,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.721780616,0.159,
cluster_23_UP - BNP,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.913338962,0.112,
cluster_23_UP - NYHA,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.513,
cluster_23_UP - heart rate,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.767547973,0.187,
cluster_23_UP - mPAP,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.467,
cluster_23_UP - PAWP,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.078,
cluster_23_UP - CVP,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.655,
cluster_23_UP - HZV_Fick,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.853242511,0.62,
cluster_23_UP - HZV_Thermodil,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.853,
cluster_23_UP - PVR,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.225306225,0.036,
cluster_23_UP - Cardiac Index,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.378,
cluster_23_UP - Rrsys,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.66180745,0.748,
cluster_23_UP - PA_systolic,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.822,
cluster_23_UP - PA_diastolic,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.308,
cluster_23_UP - ven_SO2,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.956824717,0.14,
cluster_23_UP - AVDO2,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.857,
cluster_23_UP - TAPSE,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.957046195,0.635,
cluster_23_UP - RVEDD,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.719,
cluster_23_UP - S,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.925215593,0.801,
cluster_23_UP - sPAP excl. ZVD,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.576,
cluster_23_UP - ZVD,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.675,
cluster_23_UP - VCI_diameter,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.906347824,0.88,
cluster_23_UP - RA_area,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.939558586,0.133,
cluster_23_UP - AT,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.595,
cluster_23_UP - AT_ET,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.682,
cluster_23_UP - Paradoxe_Septumbewegung,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.784,
cluster_23_UP - Perikarderguss,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.942885632,1,
cluster_23_UP - SMW,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,1,0.354,
cluster_23_UP - FEV1,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.815991545,0.525,
cluster_23_UP - Tiffeneau Index FEV1/VC,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.973769367,0.743,
cluster_23_UP - DLCO,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.733727158,0.189,
cluster_23_UP - Kreatinin,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.999764776,0.17,
cluster_23_UP - eGFR,4,ENSG00000033030|ZCCHC8 ENSG00000145216|FIP1L1 ENSG00000180376|CCDC66 ENSG00000198000|NOL8,NA,0.786565133,0.105,
cluster_24_UP - condition/healthy,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,0.315,0.315334046
cluster_24_UP - condition/pah,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,0.509,0.52169401
cluster_24_UP - condition/ph-lung,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,3,-,0.892,0.894872584
cluster_24_UP - gender/F,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,2,-,0.471,0.475457076
cluster_24_UP - gender/M,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,2,-,0.733,0.740315286
cluster_24_UP - age,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.786672038,0.054,
cluster_24_UP - height,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.502,
cluster_24_UP - weight,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.86112206,0.8,
cluster_24_UP - BNP,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.91098254,0.685,
cluster_24_UP - NYHA,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.979056568,0.27,
cluster_24_UP - heart rate,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.824576463,0.817,
cluster_24_UP - mPAP,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.07,
cluster_24_UP - PAWP,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.348,
cluster_24_UP - CVP,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.895532511,0.924,
cluster_24_UP - HZV_Fick,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.768164748,0.289,
cluster_24_UP - HZV_Thermodil,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.665670275,0.179,
cluster_24_UP - PVR,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.941491991,0.069,
cluster_24_UP - Cardiac Index,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.028,
cluster_24_UP - Rrsys,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.980995773,0.775,
cluster_24_UP - PA_systolic,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.983245446,0.105,
cluster_24_UP - PA_diastolic,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.966678611,0.099,
cluster_24_UP - ven_SO2,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.976699366,0.041,
cluster_24_UP - AVDO2,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.601682199,0.031,
cluster_24_UP - TAPSE,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.97397103,0.004,
cluster_24_UP - RVEDD,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.539,
cluster_24_UP - S,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.007,
cluster_24_UP - sPAP excl. ZVD,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.005,
cluster_24_UP - ZVD,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.662,
cluster_24_UP - VCI_diameter,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.8198353,0.848,
cluster_24_UP - RA_area,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.808474395,0.097,
cluster_24_UP - AT,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.433597747,0.008,
cluster_24_UP - AT_ET,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.11,
cluster_24_UP - Paradoxe_Septumbewegung,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.98647942,0.126,
cluster_24_UP - Perikarderguss,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.236,
cluster_24_UP - SMW,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.75518642,0.545,
cluster_24_UP - FEV1,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.603432093,0.322,
cluster_24_UP - Tiffeneau Index FEV1/VC,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.918179991,0.105,
cluster_24_UP - DLCO,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.847179333,0.009,
cluster_24_UP - Kreatinin,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,1,0.422,
cluster_24_UP - eGFR,7,ENSG00000133316|WDR74 ENSG00000137818|RPLP1 ENSG00000188486|H2AX ENSG00000197728|RPS26 ENSG00000272084|ENSG00000272084 ENSG00000277452|RN7SL473P ENSG00000287979|ENSG00000287979,NA,0.838800681,0.336,
cluster_25_UP - condition/healthy,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,0.13,0.125843857
cluster_25_UP - condition/pah,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,0.921,0.932129176
cluster_25_UP - condition/ph-lung,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,3,-,0.726,0.752656327
cluster_25_UP - gender/F,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,2,-,0.849,0.829205678
cluster_25_UP - gender/M,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,2,-,0.453,0.422956892
cluster_25_UP - age,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.223,
cluster_25_UP - height,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.361,
cluster_25_UP - weight,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.886966381,0.607,
cluster_25_UP - BNP,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.213,
cluster_25_UP - NYHA,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.756,
cluster_25_UP - heart rate,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.976610993,0.455,
cluster_25_UP - mPAP,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.98352645,0.097,
cluster_25_UP - PAWP,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.961281623,0.287,
cluster_25_UP - CVP,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.204,
cluster_25_UP - HZV_Fick,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.801,
cluster_25_UP - HZV_Thermodil,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.6,
cluster_25_UP - PVR,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.175,
cluster_25_UP - Cardiac Index,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.675,
cluster_25_UP - Rrsys,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.785597773,0.102,
cluster_25_UP - PA_systolic,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.767918952,0.114,
cluster_25_UP - PA_diastolic,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.331,
cluster_25_UP - ven_SO2,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.90284273,0.097,
cluster_25_UP - AVDO2,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,0.845645835,0.215,
cluster_25_UP - TAPSE,3,ENSG00000173065|FAM222B ENSG00000177238|TRIM72 ENSG00000244945|RUFY1-AS1,NA,1,0.038,
