test,cluster genes,cluster gene ids,variable factors,gsea preranked pval,gsea contrast pval,bootstrapping pval,ora pval
cluster_78_UP - condition/healthy,10,ENSG00000100304|TTLL12 ENSG00000104918|RETN ENSG00000106853|PTGR1 ENSG00000107902|LHPP ENSG00000108528|SLC25A11 ENSG00000126067|PSMB2 ENSG00000128311|TST ENSG00000138639|ARHGAP24 ENSG00000228594|FNDC10 ENSG00000241258|CRCP,3,-,-,,0.6502554116483783
cluster_78_UP - condition/pah,10,ENSG00000100304|TTLL12 ENSG00000104918|RETN ENSG00000106853|PTGR1 ENSG00000107902|LHPP ENSG00000108528|SLC25A11 ENSG00000126067|PSMB2 ENSG00000128311|TST ENSG00000138639|ARHGAP24 ENSG00000228594|FNDC10 ENSG00000241258|CRCP,3,-,-,,0.7202589683732803
cluster_78_UP - condition/ph-lung,10,ENSG00000100304|TTLL12 ENSG00000104918|RETN ENSG00000106853|PTGR1 ENSG00000107902|LHPP ENSG00000108528|SLC25A11 ENSG00000126067|PSMB2 ENSG00000128311|TST ENSG00000138639|ARHGAP24 ENSG00000228594|FNDC10 ENSG00000241258|CRCP,3,-,-,,0.4869655042619405
cluster_79_UP - condition/healthy,2,ENSG00000131148|EMC8 ENSG00000174564|IL20RB,3,-,-,,0.25721854327470967
cluster_79_UP - condition/pah,2,ENSG00000131148|EMC8 ENSG00000174564|IL20RB,3,-,-,,0.5549069870718906
cluster_79_UP - condition/ph-lung,2,ENSG00000131148|EMC8 ENSG00000174564|IL20RB,3,-,-,,0.9053133954761379
cluster_80_DOWN - condition/healthy,2,ENSG00000227370|ENSG00000227370 ENSG00000237037|NDUFA6-DT,3,-,-,,0.9342237516529404
cluster_80_DOWN - condition/pah,2,ENSG00000227370|ENSG00000227370 ENSG00000237037|NDUFA6-DT,3,-,-,,0.08235455395156581
cluster_80_DOWN - condition/ph-lung,2,ENSG00000227370|ENSG00000227370 ENSG00000237037|NDUFA6-DT,3,-,-,,0.8274453047196385
cluster_81_UP - condition/healthy,2,ENSG00000163904|SENP2 ENSG00000227946|INO80D-AS2,3,-,-,,0.7494987302315237
cluster_81_UP - condition/pah,2,ENSG00000163904|SENP2 ENSG00000227946|INO80D-AS2,3,-,-,,0.765150832114439
cluster_81_UP - condition/ph-lung,2,ENSG00000163904|SENP2 ENSG00000227946|INO80D-AS2,3,-,-,,0.32817342869267185
cluster_82_UP - condition/healthy,4,ENSG00000111726|CMAS ENSG00000114209|PDCD10 ENSG00000150776|NKAPD1 ENSG00000169019|COMMD8,3,-,-,,0.9863168931298518
cluster_82_UP - condition/pah,4,ENSG00000111726|CMAS ENSG00000114209|PDCD10 ENSG00000150776|NKAPD1 ENSG00000169019|COMMD8,3,-,-,,0.6405618869040401
cluster_82_UP - condition/ph-lung,4,ENSG00000111726|CMAS ENSG00000114209|PDCD10 ENSG00000150776|NKAPD1 ENSG00000169019|COMMD8,3,-,-,,0.08235455395156581
cluster_83_UP - condition/healthy,3,ENSG00000115457|IGFBP2 ENSG00000170412|GPRC5C ENSG00000227232|WASH7P,3,-,-,,0.08224716343521682
cluster_83_UP - condition/pah,3,ENSG00000115457|IGFBP2 ENSG00000170412|GPRC5C ENSG00000227232|WASH7P,3,-,-,,0.9198063961940003
cluster_83_UP - condition/ph-lung,3,ENSG00000115457|IGFBP2 ENSG00000170412|GPRC5C ENSG00000227232|WASH7P,3,-,-,,0.9198063961940003
cluster_84_UP - condition/healthy,2,ENSG00000132329|RAMP1 ENSG00000197647|ZNF433,3,-,-,,0.6693801735316518
cluster_84_UP - condition/pah,2,ENSG00000132329|RAMP1 ENSG00000197647|ZNF433,3,-,-,,0.35125411328303247
cluster_84_UP - condition/ph-lung,2,ENSG00000132329|RAMP1 ENSG00000197647|ZNF433,3,-,-,,0.8299507732275517
cluster_85_UP - condition/healthy,2,ENSG00000271943|ENSG00000271943 ENSG00000280279|LINC02887,3,-,-,,0.5671727350623332
cluster_85_UP - condition/pah,2,ENSG00000271943|ENSG00000271943 ENSG00000280279|LINC02887,3,-,-,,0.6405618869040401
cluster_85_UP - condition/ph-lung,2,ENSG00000271943|ENSG00000271943 ENSG00000280279|LINC02887,3,-,-,,0.6405618869040401
cluster_86_UP - condition/healthy,13,ENSG00000050555|LAMC3 ENSG00000070087|PFN2 ENSG00000074276|CDHR2 ENSG00000092068|SLC7A8 ENSG00000110881|ASIC1 ENSG00000150967|ABCB9 ENSG00000158859|ADAMTS4 ENSG00000181690|PLAG1 ENSG00000189283|FHIT ENSG00000204314|PRRT1 ENSG00000242686|PDE6B-AS1 ENSG00000281106|TMEM272 ENSG00000287510|ENSG00000287510,3,-,-,,0.6502554116483783
cluster_86_UP - condition/pah,13,ENSG00000050555|LAMC3 ENSG00000070087|PFN2 ENSG00000074276|CDHR2 ENSG00000092068|SLC7A8 ENSG00000110881|ASIC1 ENSG00000150967|ABCB9 ENSG00000158859|ADAMTS4 ENSG00000181690|PLAG1 ENSG00000189283|FHIT ENSG00000204314|PRRT1 ENSG00000242686|PDE6B-AS1 ENSG00000281106|TMEM272 ENSG00000287510|ENSG00000287510,3,-,-,,0.4869655042619405
cluster_86_UP - condition/ph-lung,13,ENSG00000050555|LAMC3 ENSG00000070087|PFN2 ENSG00000074276|CDHR2 ENSG00000092068|SLC7A8 ENSG00000110881|ASIC1 ENSG00000150967|ABCB9 ENSG00000158859|ADAMTS4 ENSG00000181690|PLAG1 ENSG00000189283|FHIT ENSG00000204314|PRRT1 ENSG00000242686|PDE6B-AS1 ENSG00000281106|TMEM272 ENSG00000287510|ENSG00000287510,3,-,-,,0.7202589683732803
cluster_87_DOWN - condition/healthy,3,ENSG00000125827|TMX4 ENSG00000143319|ISG20L2 ENSG00000159784|FAM131B,3,-,-,,0.1636715412273537
cluster_87_DOWN - condition/pah,3,ENSG00000125827|TMX4 ENSG00000143319|ISG20L2 ENSG00000159784|FAM131B,3,-,-,,0.609899855166024
cluster_87_DOWN - condition/ph-lung,3,ENSG00000125827|TMX4 ENSG00000143319|ISG20L2 ENSG00000159784|FAM131B,3,-,-,,0.9294764156725754
cluster_88_DOWN - condition/healthy,5,ENSG00000096433|ITPR3 ENSG00000118412|CASP8AP2 ENSG00000143401|ANP32E ENSG00000151835|SACS ENSG00000197121|PGAP1,3,-,-,,0.8492195190913526
cluster_88_DOWN - condition/pah,5,ENSG00000096433|ITPR3 ENSG00000118412|CASP8AP2 ENSG00000143401|ANP32E ENSG00000151835|SACS ENSG00000197121|PGAP1,3,-,-,,0.3783595127607992
cluster_88_DOWN - condition/ph-lung,5,ENSG00000096433|ITPR3 ENSG00000118412|CASP8AP2 ENSG00000143401|ANP32E ENSG00000151835|SACS ENSG00000197121|PGAP1,3,-,-,,0.609899855166024
cluster_89_UP - condition/healthy,3,ENSG00000101365|IDH3B ENSG00000109736|MFSD10 ENSG00000130511|SSBP4,3,-,-,,0.3780611262399253
cluster_89_UP - condition/pah,3,ENSG00000101365|IDH3B ENSG00000109736|MFSD10 ENSG00000130511|SSBP4,3,-,-,,0.4869655042619405
cluster_89_UP - condition/ph-lung,3,ENSG00000101365|IDH3B ENSG00000109736|MFSD10 ENSG00000130511|SSBP4,3,-,-,,0.8868971570242373
cluster_90_UP - condition/healthy,18,ENSG00000012061|ERCC1 ENSG00000101150|TPD52L2 ENSG00000117410|ATP6V0B ENSG00000123349|PFDN5 ENSG00000134824|FADS2 ENSG00000135404|CD63 ENSG00000141480|ARRB2 ENSG00000151650|VENTX ENSG00000160410|SHKBP1 ENSG00000165233|CARD19 ENSG00000171943|SRGAP2C ENSG00000183963|SMTN ENSG00000227560|RPS15AP30 ENSG00000245532|NEAT1 ENSG00000255031|ENSG00000255031 ENSG00000255760|LINC02422 ENSG00000279175|ENSG00000279175 ENSG00000289340|ENSG00000289340,3,-,-,,0.7974792552760475
cluster_90_UP - condition/pah,18,ENSG00000012061|ERCC1 ENSG00000101150|TPD52L2 ENSG00000117410|ATP6V0B ENSG00000123349|PFDN5 ENSG00000134824|FADS2 ENSG00000135404|CD63 ENSG00000141480|ARRB2 ENSG00000151650|VENTX ENSG00000160410|SHKBP1 ENSG00000165233|CARD19 ENSG00000171943|SRGAP2C ENSG00000183963|SMTN ENSG00000227560|RPS15AP30 ENSG00000245532|NEAT1 ENSG00000255031|ENSG00000255031 ENSG00000255760|LINC02422 ENSG00000279175|ENSG00000279175 ENSG00000289340|ENSG00000289340,3,-,-,,0.08235455395156581
cluster_90_UP - condition/ph-lung,18,ENSG00000012061|ERCC1 ENSG00000101150|TPD52L2 ENSG00000117410|ATP6V0B ENSG00000123349|PFDN5 ENSG00000134824|FADS2 ENSG00000135404|CD63 ENSG00000141480|ARRB2 ENSG00000151650|VENTX ENSG00000160410|SHKBP1 ENSG00000165233|CARD19 ENSG00000171943|SRGAP2C ENSG00000183963|SMTN ENSG00000227560|RPS15AP30 ENSG00000245532|NEAT1 ENSG00000255031|ENSG00000255031 ENSG00000255760|LINC02422 ENSG00000279175|ENSG00000279175 ENSG00000289340|ENSG00000289340,3,-,-,,0.9373767269641082
cluster_91_UP - condition/healthy,6,ENSG00000109680|TBC1D19 ENSG00000115947|ORC4 ENSG00000129167|TPH1 ENSG00000185736|ADARB2 ENSG00000197323|TRIM33 ENSG00000283361|CFAP97D2,3,-,-,,0.5753269121215785
cluster_91_UP - condition/pah,6,ENSG00000109680|TBC1D19 ENSG00000115947|ORC4 ENSG00000129167|TPH1 ENSG00000185736|ADARB2 ENSG00000197323|TRIM33 ENSG00000283361|CFAP97D2,3,-,-,,0.9690236515496374
cluster_91_UP - condition/ph-lung,6,ENSG00000109680|TBC1D19 ENSG00000115947|ORC4 ENSG00000129167|TPH1 ENSG00000185736|ADARB2 ENSG00000197323|TRIM33 ENSG00000283361|CFAP97D2,3,-,-,,0.12941012205443003
cluster_92_UP - condition/healthy,2,ENSG00000079337|RAPGEF3 ENSG00000184221|OLIG1,3,-,-,,0.6268308229429498
cluster_92_UP - condition/pah,2,ENSG00000079337|RAPGEF3 ENSG00000184221|OLIG1,3,-,-,,0.12390481536190721
cluster_92_UP - condition/ph-lung,2,ENSG00000079337|RAPGEF3 ENSG00000184221|OLIG1,3,-,-,,0.9853063164273714
cluster_93_UP - condition/healthy,2,ENSG00000049089|COL9A2 ENSG00000186583|SPATC1,3,-,-,,0.5103286956645956
cluster_93_UP - condition/pah,2,ENSG00000049089|COL9A2 ENSG00000186583|SPATC1,3,-,-,,0.22069156531343195
cluster_93_UP - condition/ph-lung,2,ENSG00000049089|COL9A2 ENSG00000186583|SPATC1,3,-,-,,0.9504858847322646
cluster_94_UP - condition/healthy,4,ENSG00000122386|ZNF205 ENSG00000126522|ASL ENSG00000167397|VKORC1 ENSG00000167779|IGFBP6,3,-,-,,0.36825690498215946
cluster_94_UP - condition/pah,4,ENSG00000122386|ZNF205 ENSG00000126522|ASL ENSG00000167397|VKORC1 ENSG00000167779|IGFBP6,3,-,-,,0.932129175878811
cluster_94_UP - condition/ph-lung,4,ENSG00000122386|ZNF205 ENSG00000126522|ASL ENSG00000167397|VKORC1 ENSG00000167779|IGFBP6,3,-,-,,0.46789273888987765
cluster_95_UP - condition/healthy,2,ENSG00000072062|PRKACA ENSG00000182578|CSF1R,3,-,-,,0.7494987302315237
cluster_95_UP - condition/pah,2,ENSG00000072062|PRKACA ENSG00000182578|CSF1R,3,-,-,,0.1518251055088349
cluster_95_UP - condition/ph-lung,2,ENSG00000072062|PRKACA ENSG00000182578|CSF1R,3,-,-,,0.9053133954761379
cluster_96_UP - condition/healthy,16,ENSG00000035664|DAPK2 ENSG00000057657|PRDM1 ENSG00000091181|IL5RA ENSG00000115392|FANCL ENSG00000127990|SGCE ENSG00000135631|RAB11FIP5 ENSG00000147234|FRMPD3 ENSG00000156463|SH3RF2 ENSG00000167094|TTC16 ENSG00000182534|MXRA7 ENSG00000196358|NTNG2 ENSG00000232022|FAAHP1 ENSG00000233306|TRGV2 ENSG00000256937|KRT17P8 ENSG00000270379|HEATR9 ENSG00000287277|ENSG00000287277,3,-,-,,0.9204037922972251
cluster_96_UP - condition/pah,16,ENSG00000035664|DAPK2 ENSG00000057657|PRDM1 ENSG00000091181|IL5RA ENSG00000115392|FANCL ENSG00000127990|SGCE ENSG00000135631|RAB11FIP5 ENSG00000147234|FRMPD3 ENSG00000156463|SH3RF2 ENSG00000167094|TTC16 ENSG00000182534|MXRA7 ENSG00000196358|NTNG2 ENSG00000232022|FAAHP1 ENSG00000233306|TRGV2 ENSG00000256937|KRT17P8 ENSG00000270379|HEATR9 ENSG00000287277|ENSG00000287277,3,-,-,,0.6990207678589426
cluster_96_UP - condition/ph-lung,16,ENSG00000035664|DAPK2 ENSG00000057657|PRDM1 ENSG00000091181|IL5RA ENSG00000115392|FANCL ENSG00000127990|SGCE ENSG00000135631|RAB11FIP5 ENSG00000147234|FRMPD3 ENSG00000156463|SH3RF2 ENSG00000167094|TTC16 ENSG00000182534|MXRA7 ENSG00000196358|NTNG2 ENSG00000232022|FAAHP1 ENSG00000233306|TRGV2 ENSG00000256937|KRT17P8 ENSG00000270379|HEATR9 ENSG00000287277|ENSG00000287277,3,-,-,,0.22084161781706596
cluster_97_UP - condition/healthy,2,ENSG00000215559|ANKRD20A11P ENSG00000290581|ENSG00000290581,3,-,-,,0.9539796578542226
cluster_97_UP - condition/pah,2,ENSG00000215559|ANKRD20A11P ENSG00000290581|ENSG00000290581,3,-,-,,0.8270718982097036
cluster_97_UP - condition/ph-lung,2,ENSG00000215559|ANKRD20A11P ENSG00000290581|ENSG00000290581,3,-,-,,0.10886622689657943
cluster_98_UP - condition/healthy,3,ENSG00000172348|RCAN2 ENSG00000253731|PCDHGA6 ENSG00000290537|ENSG00000290537,3,-,-,,0.3780611262399253
cluster_98_UP - condition/pah,3,ENSG00000172348|RCAN2 ENSG00000253731|PCDHGA6 ENSG00000290537|ENSG00000290537,3,-,-,,0.8868971570242373
cluster_98_UP - condition/ph-lung,3,ENSG00000172348|RCAN2 ENSG00000253731|PCDHGA6 ENSG00000290537|ENSG00000290537,3,-,-,,0.4869655042619405
cluster_99_UP - condition/healthy,2,ENSG00000204644|ZFP57 ENSG00000289690|ENSG00000289690,3,-,-,,0.06953619325517156
cluster_99_UP - condition/pah,2,ENSG00000204644|ZFP57 ENSG00000289690|ENSG00000289690,3,-,-,,0.9545343625429552
cluster_99_UP - condition/ph-lung,2,ENSG00000204644|ZFP57 ENSG00000289690|ENSG00000289690,3,-,-,,0.692022538186596
cluster_100_UP - condition/healthy,3,ENSG00000123416|TUBA1B ENSG00000161960|EIF4A1 ENSG00000255717|SNHG1,3,-,-,,0.5753269121215785
cluster_100_UP - condition/pah,3,ENSG00000123416|TUBA1B ENSG00000161960|EIF4A1 ENSG00000255717|SNHG1,3,-,-,,0.2953763825253428
cluster_100_UP - condition/ph-lung,3,ENSG00000123416|TUBA1B ENSG00000161960|EIF4A1 ENSG00000255717|SNHG1,3,-,-,,0.8948725842801464
cluster_101_DOWN - condition/healthy,2,ENSG00000119185|ITGB1BP1 ENSG00000143198|MGST3,3,-,-,,0.12438103250858519
cluster_101_DOWN - condition/pah,2,ENSG00000119185|ITGB1BP1 ENSG00000143198|MGST3,3,-,-,,0.6405618869040401
cluster_101_DOWN - condition/ph-lung,2,ENSG00000119185|ITGB1BP1 ENSG00000143198|MGST3,3,-,-,,0.9373767269641082
cluster_102_UP - condition/healthy,22,ENSG00000085840|ORC1 ENSG00000094804|CDC6 ENSG00000112984|KIF20A ENSG00000116117|PARD3B ENSG00000118193|KIF14 ENSG00000118777|ABCG2 ENSG00000135476|ESPL1 ENSG00000135525|MAP7 ENSG00000138160|KIF11 ENSG00000142945|KIF2C ENSG00000144354|CDCA7 ENSG00000148773|MKI67 ENSG00000156970|BUB1B ENSG00000164237|CMBL ENSG00000166803|PCLAF ENSG00000169607|CKAP2L ENSG00000184661|CDCA2 ENSG00000186185|KIF18B ENSG00000211650|IGLV5-45 ENSG00000211658|IGLV3-27 ENSG00000234286|ENSG00000234286 ENSG00000276043|UHRF1,3,-,-,,1.0
cluster_102_UP - condition/pah,22,ENSG00000085840|ORC1 ENSG00000094804|CDC6 ENSG00000112984|KIF20A ENSG00000116117|PARD3B ENSG00000118193|KIF14 ENSG00000118777|ABCG2 ENSG00000135476|ESPL1 ENSG00000135525|MAP7 ENSG00000138160|KIF11 ENSG00000142945|KIF2C ENSG00000144354|CDCA7 ENSG00000148773|MKI67 ENSG00000156970|BUB1B ENSG00000164237|CMBL ENSG00000166803|PCLAF ENSG00000169607|CKAP2L ENSG00000184661|CDCA2 ENSG00000186185|KIF18B ENSG00000211650|IGLV5-45 ENSG00000211658|IGLV3-27 ENSG00000234286|ENSG00000234286 ENSG00000276043|UHRF1,3,-,-,,0.2374857335079352
cluster_102_UP - condition/ph-lung,22,ENSG00000085840|ORC1 ENSG00000094804|CDC6 ENSG00000112984|KIF20A ENSG00000116117|PARD3B ENSG00000118193|KIF14 ENSG00000118777|ABCG2 ENSG00000135476|ESPL1 ENSG00000135525|MAP7 ENSG00000138160|KIF11 ENSG00000142945|KIF2C ENSG00000144354|CDCA7 ENSG00000148773|MKI67 ENSG00000156970|BUB1B ENSG00000164237|CMBL ENSG00000166803|PCLAF ENSG00000169607|CKAP2L ENSG00000184661|CDCA2 ENSG00000186185|KIF18B ENSG00000211650|IGLV5-45 ENSG00000211658|IGLV3-27 ENSG00000234286|ENSG00000234286 ENSG00000276043|UHRF1,3,-,-,,0.5427344510253853
cluster_103_UP - condition/healthy,2,ENSG00000211698|TRGV4 ENSG00000229769|TRBV10-2,3,-,-,,0.8159186314168904
cluster_103_UP - condition/pah,2,ENSG00000211698|TRGV4 ENSG00000229769|TRBV10-2,3,-,-,,0.8828835769714168
cluster_103_UP - condition/ph-lung,2,ENSG00000211698|TRGV4 ENSG00000229769|TRBV10-2,3,-,-,,0.17618369789532284
cluster_104_UP - condition/healthy,3,ENSG00000196214|ZNF766 ENSG00000229721|ENSG00000229721 ENSG00000267152|ENSG00000267152,3,-,-,,0.20649624331580965
cluster_104_UP - condition/pah,3,ENSG00000196214|ZNF766 ENSG00000229721|ENSG00000229721 ENSG00000267152|ENSG00000267152,3,-,-,,0.9237983876112791
cluster_104_UP - condition/ph-lung,3,ENSG00000196214|ZNF766 ENSG00000229721|ENSG00000229721 ENSG00000267152|ENSG00000267152,3,-,-,,0.5788689901239834
cluster_105_UP - condition/healthy,2,ENSG00000125746|EML2 ENSG00000142178|SIK1,3,-,-,,0.8281601733532494
cluster_105_UP - condition/pah,2,ENSG00000125746|EML2 ENSG00000142178|SIK1,3,-,-,,0.06610615692689159
cluster_105_UP - condition/ph-lung,2,ENSG00000125746|EML2 ENSG00000142178|SIK1,3,-,-,,0.9489780508353781
cluster_106_UP - condition/healthy,6,ENSG00000106772|PRUNE2 ENSG00000126803|HSPA2 ENSG00000129925|PGAP6 ENSG00000205837|LINC00487 ENSG00000225964|NRIR ENSG00000287252|ENSG00000287252,3,-,-,,0.5278947659183182
cluster_106_UP - condition/pah,6,ENSG00000106772|PRUNE2 ENSG00000126803|HSPA2 ENSG00000129925|PGAP6 ENSG00000205837|LINC00487 ENSG00000225964|NRIR ENSG00000287252|ENSG00000287252,3,-,-,,0.6782407548451348
cluster_106_UP - condition/ph-lung,6,ENSG00000106772|PRUNE2 ENSG00000126803|HSPA2 ENSG00000129925|PGAP6 ENSG00000205837|LINC00487 ENSG00000225964|NRIR ENSG00000287252|ENSG00000287252,3,-,-,,0.6782407548451348
cluster_107_UP - condition/healthy,4,ENSG00000087077|TRIP6 ENSG00000142347|MYO1F ENSG00000172932|ANKRD13D ENSG00000269981|ENSG00000269981,3,-,-,,0.6959900142579569
cluster_107_UP - condition/pah,4,ENSG00000087077|TRIP6 ENSG00000142347|MYO1F ENSG00000172932|ANKRD13D ENSG00000269981|ENSG00000269981,3,-,-,,0.2515002446996993
cluster_107_UP - condition/ph-lung,4,ENSG00000087077|TRIP6 ENSG00000142347|MYO1F ENSG00000172932|ANKRD13D ENSG00000269981|ENSG00000269981,3,-,-,,0.8626552240182295
cluster_108_UP - condition/healthy,54,ENSG00000005961|ITGA2B ENSG00000011105|TSPAN9 ENSG00000013016|EHD3 ENSG00000049323|LTBP1 ENSG00000081377|CDC14B ENSG00000082781|ITGB5 ENSG00000095303|PTGS1 ENSG00000101856|PGRMC1 ENSG00000103740|ACSBG1 ENSG00000109265|CRACD ENSG00000109272|PF4V1 ENSG00000113140|SPARC ENSG00000113924|HGD ENSG00000115290|GRB14 ENSG00000117400|MPL ENSG00000119862|LGALSL ENSG00000122643|NT5C3A ENSG00000124657|OR2B6 ENSG00000127824|TUBA4A ENSG00000132681|ATP1A4 ENSG00000134317|GRHL1 ENSG00000137225|CAPN11 ENSG00000140682|TGFB1I1 ENSG00000146859|TMEM140 ENSG00000151023|ENKUR ENSG00000151789|ZNF385D ENSG00000153162|BMP6 ENSG00000156011|PSD3 ENSG00000161911|TREML1 ENSG00000162627|SNX7 ENSG00000163735|CXCL5 ENSG00000163898|LIPH ENSG00000164181|ELOVL7 ENSG00000166091|CMTM5 ENSG00000174175|SELP ENSG00000178033|CALHM5 ENSG00000180190|TDRP ENSG00000182795|C1orf116 ENSG00000184113|CLDN5 ENSG00000185052|SLC24A3 ENSG00000185614|INKA1 ENSG00000187800|PEAR1 ENSG00000204420|MPIG6B ENSG00000204710|SPDYC ENSG00000224846|NQO2-AS1 ENSG00000236279|CLEC2L ENSG00000249307|LINC01088 ENSG00000250334|LINC00989 ENSG00000251600|ENSG00000251600 ENSG00000253549|CA3-AS1 ENSG00000255874|PRECSIT ENSG00000259330|INAFM2 ENSG00000260912|ENSG00000260912 ENSG00000288882|ENSG00000288882,3,-,-,,0.5181611260825114
cluster_108_UP - condition/pah,54,ENSG00000005961|ITGA2B ENSG00000011105|TSPAN9 ENSG00000013016|EHD3 ENSG00000049323|LTBP1 ENSG00000081377|CDC14B ENSG00000082781|ITGB5 ENSG00000095303|PTGS1 ENSG00000101856|PGRMC1 ENSG00000103740|ACSBG1 ENSG00000109265|CRACD ENSG00000109272|PF4V1 ENSG00000113140|SPARC ENSG00000113924|HGD ENSG00000115290|GRB14 ENSG00000117400|MPL ENSG00000119862|LGALSL ENSG00000122643|NT5C3A ENSG00000124657|OR2B6 ENSG00000127824|TUBA4A ENSG00000132681|ATP1A4 ENSG00000134317|GRHL1 ENSG00000137225|CAPN11 ENSG00000140682|TGFB1I1 ENSG00000146859|TMEM140 ENSG00000151023|ENKUR ENSG00000151789|ZNF385D ENSG00000153162|BMP6 ENSG00000156011|PSD3 ENSG00000161911|TREML1 ENSG00000162627|SNX7 ENSG00000163735|CXCL5 ENSG00000163898|LIPH ENSG00000164181|ELOVL7 ENSG00000166091|CMTM5 ENSG00000174175|SELP ENSG00000178033|CALHM5 ENSG00000180190|TDRP ENSG00000182795|C1orf116 ENSG00000184113|CLDN5 ENSG00000185052|SLC24A3 ENSG00000185614|INKA1 ENSG00000187800|PEAR1 ENSG00000204420|MPIG6B ENSG00000204710|SPDYC ENSG00000224846|NQO2-AS1 ENSG00000236279|CLEC2L ENSG00000249307|LINC01088 ENSG00000250334|LINC00989 ENSG00000251600|ENSG00000251600 ENSG00000253549|CA3-AS1 ENSG00000255874|PRECSIT ENSG00000259330|INAFM2 ENSG00000260912|ENSG00000260912 ENSG00000288882|ENSG00000288882,3,-,-,,0.9212050193935519
cluster_108_UP - condition/ph-lung,54,ENSG00000005961|ITGA2B ENSG00000011105|TSPAN9 ENSG00000013016|EHD3 ENSG00000049323|LTBP1 ENSG00000081377|CDC14B ENSG00000082781|ITGB5 ENSG00000095303|PTGS1 ENSG00000101856|PGRMC1 ENSG00000103740|ACSBG1 ENSG00000109265|CRACD ENSG00000109272|PF4V1 ENSG00000113140|SPARC ENSG00000113924|HGD ENSG00000115290|GRB14 ENSG00000117400|MPL ENSG00000119862|LGALSL ENSG00000122643|NT5C3A ENSG00000124657|OR2B6 ENSG00000127824|TUBA4A ENSG00000132681|ATP1A4 ENSG00000134317|GRHL1 ENSG00000137225|CAPN11 ENSG00000140682|TGFB1I1 ENSG00000146859|TMEM140 ENSG00000151023|ENKUR ENSG00000151789|ZNF385D ENSG00000153162|BMP6 ENSG00000156011|PSD3 ENSG00000161911|TREML1 ENSG00000162627|SNX7 ENSG00000163735|CXCL5 ENSG00000163898|LIPH ENSG00000164181|ELOVL7 ENSG00000166091|CMTM5 ENSG00000174175|SELP ENSG00000178033|CALHM5 ENSG00000180190|TDRP ENSG00000182795|C1orf116 ENSG00000184113|CLDN5 ENSG00000185052|SLC24A3 ENSG00000185614|INKA1 ENSG00000187800|PEAR1 ENSG00000204420|MPIG6B ENSG00000204710|SPDYC ENSG00000224846|NQO2-AS1 ENSG00000236279|CLEC2L ENSG00000249307|LINC01088 ENSG00000250334|LINC00989 ENSG00000251600|ENSG00000251600 ENSG00000253549|CA3-AS1 ENSG00000255874|PRECSIT ENSG00000259330|INAFM2 ENSG00000260912|ENSG00000260912 ENSG00000288882|ENSG00000288882,3,-,-,,0.3032550698129197
cluster_109_DOWN - condition/healthy,5,ENSG00000119522|DENND1A ENSG00000120889|TNFRSF10B ENSG00000225697|SLC26A6 ENSG00000260528|FAM157C ENSG00000266028|SRGAP2,3,-,-,,0.12575591496078034
cluster_109_DOWN - condition/pah,5,ENSG00000119522|DENND1A ENSG00000120889|TNFRSF10B ENSG00000225697|SLC26A6 ENSG00000260528|FAM157C ENSG00000266028|SRGAP2,3,-,-,,0.9690236515496374
cluster_109_DOWN - condition/ph-lung,5,ENSG00000119522|DENND1A ENSG00000120889|TNFRSF10B ENSG00000225697|SLC26A6 ENSG00000260528|FAM157C ENSG00000266028|SRGAP2,3,-,-,,0.5216940104402239
cluster_110_DOWN - condition/healthy,4,ENSG00000144048|DUSP11 ENSG00000165506|DNAAF2 ENSG00000173349|SFT2D3 ENSG00000187325|TAF9B,3,-,-,,0.6376168695595205
cluster_110_DOWN - condition/pah,4,ENSG00000144048|DUSP11 ENSG00000165506|DNAAF2 ENSG00000173349|SFT2D3 ENSG00000187325|TAF9B,3,-,-,,0.3783595127607992
cluster_110_DOWN - condition/ph-lung,4,ENSG00000144048|DUSP11 ENSG00000165506|DNAAF2 ENSG00000173349|SFT2D3 ENSG00000187325|TAF9B,3,-,-,,0.8083630057990734
cluster_111_UP - condition/healthy,2,ENSG00000188375|H3-5 ENSG00000254531|FLJ20021,3,-,-,,0.8281601733532494
cluster_111_UP - condition/pah,2,ENSG00000188375|H3-5 ENSG00000254531|FLJ20021,3,-,-,,0.6379200986869251
cluster_111_UP - condition/ph-lung,2,ENSG00000188375|H3-5 ENSG00000254531|FLJ20021,3,-,-,,0.39351742199885487
cluster_112_UP - condition/healthy,3,ENSG00000163281|GNPDA2 ENSG00000211792|TRAV14DV4 ENSG00000269743|SLC25A53,3,-,-,,0.5753269121215785
cluster_112_UP - condition/pah,3,ENSG00000163281|GNPDA2 ENSG00000211792|TRAV14DV4 ENSG00000269743|SLC25A53,3,-,-,,0.8948725842801464
cluster_112_UP - condition/ph-lung,3,ENSG00000163281|GNPDA2 ENSG00000211792|TRAV14DV4 ENSG00000269743|SLC25A53,3,-,-,,0.2953763825253428
cluster_113_DOWN - condition/healthy,6,ENSG00000055163|CYFIP2 ENSG00000103479|RBL2 ENSG00000116852|KIF21B ENSG00000138443|ABI2 ENSG00000149679|CABLES2 ENSG00000158985|CDC42SE2,3,-,-,,0.8395544849304761
cluster_113_DOWN - condition/pah,6,ENSG00000055163|CYFIP2 ENSG00000103479|RBL2 ENSG00000116852|KIF21B ENSG00000138443|ABI2 ENSG00000149679|CABLES2 ENSG00000158985|CDC42SE2,3,-,-,,0.7196279482875625
